FORKS,TIME
1,0.005132270000103745
2,0.003871383999921818
3,0.004892263999863644
4,0.0049000079998222645
5,0.005388277000292874
6,0.005630608000046777
7,0.00444647399990572
8,0.0057138029997076956
9,0.0056946769996102375
10,0.004503079000187427
11,0.0058171250002487795
12,0.00549701800036928
13,0.004795182999714598
14,0.0049139339998873766
15,0.005149942999651103
16,0.0044788039999730245
17,0.004747773999952187
18,0.0047146829997473105
19,0.004843112000344263
20,0.005821211999773368
21,0.0060436260000642505
22,0.005046480000146403
23,0.005727658000068914
24,0.005334966999726021
25,0.004284332000224822
26,0.00698290399986945
27,0.004008729999895877
28,0.005224011000336759
29,0.005741954999848531
30,0.006058804000076634
31,0.005978824999601784
32,0.007641729999704694
33,0.007291257999895606
34,0.006111231999966549
35,0.004929903999709495
36,0.004727687000013248
37,0.006431717999930697
38,0.006860255999981746
39,0.00632146299994929
40,0.007372157000190782
41,0.007565346999854228
42,0.007011367000359314
43,0.005607654999948863
44,0.006526023999867903
45,0.0066827249997913896
46,0.006364533000123629
47,0.006852912000340439
48,0.006820220999998128
49,0.008609461000105512
50,0.008630068999991636
51,0.007136329999866575
52,0.008538778999991337
53,0.007549668999672576
54,0.007087778999903094
55,0.007270337999671028
56,0.009504935999757436
57,0.005762363000030746
58,0.006158309000056761
59,0.007489547000204766
60,0.007445534999988013
61,0.0076846299998578615
62,0.007737517999885313
63,0.007934543999908783
64,0.007156365999890113
65,0.008541113999854133
66,0.0078092610001476714
67,0.00840471899982731
68,0.008385043000089354
69,0.008043717999953515
70,0.008196331999897666
71,0.008363143000224227
72,0.007361297999977978
73,0.008735424999940733
74,0.008848775999922509
75,0.009754692000115028
76,0.00789874800011603
77,0.00902179700005945
78,0.009482765999564435
79,0.009225897999840527
80,0.009845430000041233
81,0.008616885000265029
82,0.008808510999642749
83,0.008945926000251347
84,0.009270200000173645
85,0.009371127999656892
86,0.009389833000113867
87,0.009621272000003955
88,0.008845589999964432
89,0.007709967000209872
90,0.010311797999747796
91,0.010810114999912912
92,0.011160396999912336
93,0.009260743000140792
94,0.011152111999763292
95,0.010144216999833588
96,0.009678490000169404
1,0.06409206299986181
2,0.05003387199985809
3,0.04498955700000806
4,0.04288549100010641
5,0.04067159199985326
6,0.04281052200030899
7,0.0427443690000473
8,0.04669358800038026
9,0.038093894999747135
10,0.037737382000159414
11,0.041888777000167465
12,0.03801367599999139
13,0.03674803100011559
14,0.03888637899990499
15,0.03874130900021555
16,0.03893204499991043
17,0.04015834600022572
18,0.03609188000018548
19,0.039813444999708736
20,0.03838229200027854
21,0.036474321000241616
22,0.03835481999976764
23,0.03854625700023462
24,0.0396976690003612
25,0.03667756899994856
26,0.037413850000120874
27,0.03872598099997049
28,0.037071281999942585
29,0.03693916600013836
30,0.04134598600012396
31,0.03776883999989877
32,0.039417999000306736
33,0.03703479400019205
34,0.03987636100009695
35,0.03655352899977515
36,0.03991432199973133
37,0.0372684889998709
38,0.03671378600029129
39,0.0364231460002884
40,0.03831997599991155
41,0.041987640999650466
42,0.03709393400004046
43,0.037506842000311735
44,0.03764302600029623
45,0.03951216399991608
46,0.037140179999823886
47,0.037798764999934065
48,0.03686093099986465
49,0.03883937099999457
50,0.04237204599985489
